table,field,ddl_declaration,ddl_not_null,source_path,source_line,manifest_planes,build_disposition,capability,recommended_timing,recommended_owner,recommendation
document.attachment_series,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,current_attachment_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_series,status,document.attachment_series_status_d NOT NULL DEFAULT 'active',True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,status_changed_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,status_changed_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,retention_until,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_series,expires_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_series,is_auto_delete_on_expiry,boolean NOT NULL DEFAULT false,True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_series,created_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,created_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,updated_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_series,updated_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,4,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,file_name,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,original_filename,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,content_type,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,size_bytes,bigint,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,sha256,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,kind,text NOT NULL DEFAULT 'attachment',True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,storage_bucket,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,storage_key,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,is_virus_scanned,boolean NOT NULL DEFAULT false,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,version_no,integer NOT NULL DEFAULT 1,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,parent_attachment_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,reference_count,integer NOT NULL DEFAULT 0,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,is_active,boolean NOT NULL DEFAULT true,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,is_auto_delete_on_expiry,boolean NOT NULL DEFAULT false,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,expires_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,retention_until,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
